,Advertiser_ID,Advertiser_Name,Total_Creatives,Spend_USD,Regions,Elections
904,AR171236910117683200,FRIENDS OF JUDGE LINDA E DAVENPORT,10,0,US,US-Federal
905,AR171239246579892224,COMMITTEE TO ELECT CAROLINE CORNELL,58,8000,US,US-Federal
906,AR171267971321167872,AMERICA'S TOMORROW,2,0,US,US-Federal
907,AR17128192137494528,AMERICAN POTENTIAL,30,10900,US,US-Federal
908,AR171299857158373376,CALIFORNIA BUSINESS ROUNDTABLE,26,60900,US,US-Federal
909,AR171376513734672384,TAX TOURISTS FAIRLY - YES ON MEASURE B 2021,2,300,US,US-Federal
910,AR171558379829854208,CITIZENS FOR JULIE A SCHAFER,1,700,US,US-Federal
911,AR171677264524607488,OREGON RIGHT TO LIFE VICTORY PAC,7,10200,US,US-Federal
912,AR171701934816755712,ELECT AARON LIEBERMAN,131,6900,US,US-Federal
916,AR171972414677188608,WISCONSIN NEXT PAC,56,8300,US,US-Federal
917,AR172076249806536704,SCOTT MILNE FOR VERMONT LLC,3,1600,US,US-Federal
918,AR172202212607393792,COLLINS FOR SENATOR,234,1086000,US,US-Federal
920,AR172310445783252992,MI FAMILIA VOTA,2,13100,US,US-Federal
921,AR17232095986319360,BILL CASSIDY FOR US SENATE,43,74600,US,US-Federal
922,AR172483412706197504,LORI TRAHAN FOR CONGRESS COMMITTEE,3,2600,US,US-Federal
923,AR172501760806486016,RURAL ARIZONA ACTION,1,2000,US,US-Federal
924,AR172620851659669504,STAND UP REPUBLIC INC,6,21200,US,US-Federal
925,AR172638718723620864,DEMOCRATIC PARTY OF WISCONSIN,116,347500,US,US-Federal
926,AR172662701821001728,JOYCE ELLIOTT FOR CONGRESS,23,40900,US,US-Federal
928,AR172725442703261696,QUIGLEY FOR CONGRESS,13,7300,US,US-Federal
929,AR172802889553543168,COLORADO WORKING FAMILIES PARTY INDEPENDENT EXPENDITURE COMMITTEE,2,300,US,US-Federal
932,AR173415454969167872,SAVE OUR SCHOOLS ARIZONA,5,1000,US,US-Federal
933,AR173485342677008384,MARI MANOOGIAN FRIENDS OF,5,0,US,US-Federal
934,AR173658550118121472,VOTE FOR OWENS,1,200,US,US-Federal
935,AR173695830434250752,WASHINGTON CO DEM COM,9,200,US,US-Federal
936,AR173764618630463488,RAINMAKER INC,3,1600,US,US-Federal
937,AR173784134961856512,WHITE COAT WASTE PAC,6,200,US,US-Federal
938,AR173851342610104320,RICKMAN FOR SUPERVISOR 2020,5,1600,US,US-Federal
939,AR173968062641340416,ALLEGHENY JUSTICE FOR ALL,5,15600,US,US-Federal
941,AR174093029009784832,"PATAGONIA, INC.",7,22900,US,US-Federal
942,AR174216930226339840,DAN CRENSHAW FOR CONGRESS,370,46000,US,US-Federal
943,AR174224214490873856,"IMM, LLC",363,5800,US,US-Federal
944,AR174228475098431488,COMMONWEALTH COMMUNICATIONS,10,136100,US,US-Federal
945,AR174243799541743616,AMERICA NEXT INC,2,6800,US,US-Federal
947,AR17476599884546048,LINEHAN FOR LEGISLATURE,6,2900,US,US-Federal
949,AR174788813711736832,PETERS FOR MICHIGAN,240,2125000,US,US-Federal
950,AR174910034868699136,NORTH CAROLINA REPUBLICAN PARTY,20,6700,US,US-Federal
951,AR174975936846888960,ELECT TONYA PFAFF,27,8000,US,US-Federal
952,AR175016550057639936,ALASKANS FOR DON YOUNG,21,10000,US,US-Federal
953,AR175172096593231872,Friends of Megan Sullivan,1,900,US,US-Federal
954,AR175198862829420544,"GULICK, DANA 4 PA 97",70,14000,US,US-Federal
955,AR175306133932605440,RESTORATION PAC,556,698400,US,US-Federal
956,AR175316373134639104,FAITH FOR SD24,18,7100,US,US-Federal
957,AR175334102759636992,PAUL WEIGEL FOR SENATE,1,4000,US,US-Federal
958,AR175451750503809024,VICKI PYNE FOR HD27,4,4200,US,US-Federal
959,AR175593587503792128,POLITICAL ACTION GROUP FOR EDUCATION (PAGE SAN BERNARDINO TEACHERS ASSOCIATION (SBTA),2,1600,US,US-Federal
960,AR175614753102626816,SAFE TOGETHER NY INC,32,85900,US,US-Federal
961,AR175667529660760064,FRIENDS OF CAROL BLOOD,50,1800,US,US-Federal
962,AR175792805266849792,FRIENDS OF NICK FREITAS INC,90,26000,US,US-Federal
963,AR175796138161471488,CARNEGIE ENDOWMENT FOR INTERNATIONAL PEACE,1,100,US,US-Federal
964,AR175823110556090368,ANTHONY KERN,4,12300,US,US-Federal
965,AR176382212218814464,RYAN SHROUDER FOR COOPER CITY COMMISSIONER,13,23800,US,US-Federal
966,AR176414235494973440,SUPPORTERS OF PERRIN JONES,12,8400,US,US-Federal
967,AR176432033839448064,NARAL PRO-CHOICE AMERICA,117,253100,US,US-Federal
968,AR176443028955725824,LORIE ZAPF FOR COUNCIL 2018,5,1100,US,US-Federal
969,AR176546314329260032,COMMITTEE TO ELECT ALESSANDRA BIAGGI,3,1000,US,US-Federal
970,AR176675850542907392,BECKER FOR CONGRESS,5,100,US,US-Federal
971,AR176705399917903872,JACKIE GORDON FOR CONGRESS,55,225800,US,US-Federal
973,AR176888468603928576,FRIENDS OF MCCORMICK,6,6800,US,US-Federal
975,AR17716843175215104,CROKE FOR ILLINOIS,54,11700,US,US-Federal
976,AR177243370341531648,MCMULLIN FOR UTAH INC,30,9000,US,US-Federal
977,AR17743712490618880,LET AMERICA VOTE PAC AND NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,111,7600,US,US-Federal
978,AR177702553885081600,KIM 2021,4,400,US,US-Federal
979,AR177752581664145408,AMERICAN PRIVATE RADIO,7,3600,US,US-Federal
981,AR177801956608180224,FREE PRESS,2,3600,US,US-Federal
982,AR177812264529690624,SAVE THE CHILDREN ACTION NETWORK INC,6,400,US,US-Federal
983,AR177833567567478784,ELECT ROBYN COLAJEZZI,15,1400,US,US-Federal
984,AR177910808259330048,ODONNELLFORMISSOURI.COM,3,600,US,US-Federal
986,AR178365731195322368,CLIMATE VOTE MINNESOTA,36,92400,US,US-Federal
987,AR178694072855166976,BETH NAUGHTON BECK FOR JUDGE,10,700,US,US-Federal
988,AR178758944041205760,COMMITTEE TO ELECT JEFFRION AUBRY,3,6000,US,US-Federal
989,AR178835566257766400,BUCSHON FOR CONGRESS,2,1300,US,US-Federal
990,AR17891184487694336,INSTITUTE FOR POLITICAL INNOVATION,5,4600,US,US-Federal
991,AR178950396503392256,JOSH FOR STATE REPRESENTATIVE,5,400,US,US-Federal
992,AR179060038428524544,VICTORIA FOR COUNCIL 33,2,0,US,US-Federal
993,AR179093333015003136,FLORIDA DEMOCRATIC PARTY,7,8200,US,US-Federal
994,AR179100823437967360,COMMITTEE TO ELECT ALLEN SMITH,32,200,US,US-Federal
996,AR179195587596386304,FRANCCESCA CESTI-BROWNE,11,1200,US,US-Federal
997,AR179219742492459008,DEAN HELLER FOR NEVADA GOVERNOR EXPLORATORY COMMITTEE,6,6800,US,US-Federal
999,AR179382642012061696,OHIO REPUBLICAN STATE CENTRAL AND EXECUTIVE COMMITTEE,29,8800,US,US-Federal
1000,AR179394118164676608,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,12,21100,US,US-Federal
1002,AR179564954783842304,FORWARD CALIFORNIA,7,38700,US,US-Federal
1003,AR179599520680640512,DAN FLYNN CAMPAIGN,2,600,US,US-Federal
1004,AR179612852259127296,COMMITTEE TO ELECT KEITH WHEELER,8,1400,US,US-Federal
1005,AR179733454940798976,COLORADO REPUBLICAN COMMITTEE,21,18500,US,US-Federal
1006,AR179784032475676672,EVELYN FOR NY,13,8200,US,US-Federal
1007,AR179854538658807808,AMERICANS UNITED FOR VALUES,31,30900,US,US-Federal
1008,AR179873299075956736,"CONCERNED CONSERVATIVES, INC.",2,2300,US,US-Federal
1010,AR179904772596301824,ESAFUND,27,135400,US,US-Federal
1011,AR179905425431330816,NICK FOR CT 2021,11,1700,US,US-Federal
1012,AR17992992392478720,RALEIGH BOWMAN FOR CONGRESS,11,100,US,US-Federal
1014,AR179987957522890752,Darien Republican Town Committee,4,0,US,US-Federal
1016,AR180201434577371136,EPOCH USA INC.,1177,2132300,US,US-Federal
1017,AR180524622276460544,PALM BEACH KENNEL CLUB,1,0,US,US-Federal
1018,AR180636085267726336,JOSH TANNER FOR IDAHO,7,1800,US,US-Federal
1019,AR180827537729912832,STAATS FOR STATE REP,3,700,US,US-Federal
1020,AR180885811846184960,ILENE SHAPIRO ELECT,11,1700,US,US-Federal
1023,AR181141998055456768,RYAN WELD COMMITTEE TO ELECT,373,3300,US,US-Federal
1024,AR181242191052537856,SOLOMON RAJPUT FOR CONGRESS,1,1600,US,US-Federal
1025,AR181445154027077632,KIM TAYLOR FOR VA,22,3800,US,US-Federal
1026,AR181448108964577280,COLORADANS FOR COLE BUERGER,1,0,US,US-Federal
1027,AR181511983718203392,CATHERINE STEEL FOR STATE REPRESENTATIVE,96,3200,US,US-Federal
1030,AR181717420593905664,LEIGH HULSEY,24,2100,US,US-Federal
1031,AR181859704270487552,MAXWELL RYMER,2,1000,US,US-Federal
1032,AR181906811471790080,"BRITT FOR ALABAMA, INC,",1,1700,US,US-Federal
1033,AR181989652800995328,ACC WISCONSIN PAC,24,10400,US,US-Federal
1034,AR182061533373661184,PATIENTS FOR AFFORDABLE DRUGS ACTION,30,52400,US,US-Federal
1036,AR182267038968840192,MATTHEW J DOWD,1,1800,US,US-Federal
1037,AR182414407886700544,"LATINA POWER PROJECT, INC",2,1000,US,US-Federal
1038,AR182577066888134656,JOHNSON FOR LT. GOV.,2,1800,US,US-Federal
1039,AR182604692117782528,DREW EDMONDSON FOR GOVERNOR,1,100,US,US-Federal
1040,AR182710451392479232,JEANETTE FOR SENATE 25,49,133700,US,US-Federal
1042,AR18277868983287808,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE SAN MANUEL BAND OF MISSION INDIANS,2,30300,US,US-Federal
1043,AR182794289154097152,JAMIE FOR BART,124,2600,US,US-Federal
1044,AR182799992870666240,RANDY HENDERSON FOR CONGRESS,12,400,US,US-Federal
1045,AR182815042436071424,HIRAM 2020,9,800,US,US-Federal
1046,AR182837376266010624,MINER/VOLPE FOR NY,6,700,US,US-Federal
1047,AR182856686438973440,RICH WALKER FOR PARKLAND MAYOR,5,1000,US,US-Federal
1048,AR182983405154074624,HOUSE CD6,2,3200,US,US-Federal
1050,AR183122768252895232,AUDREY DENNEY FOR CONGRESS,10,11100,US,US-Federal
1052,AR183453996130762752,Z AXIS IMAGES,20,800,US,US-Federal
1053,AR183485607090061312,STEVE CWODZINSKI FOR STATE SENATE,12,6200,US,US-Federal
1054,AR183518180122034176,PLAINS PAC,25,17000,US,US-Federal
1055,AR183646651183792128,REP. STENY HOYER - U.S. HOUSE OF REPRESENTATIVES,1,1900,US,US-Federal
1056,AR1838383441641472,TOM MALINOWSKI FOR CONGRESS,85,105900,US,US-Federal
1058,AR183886241639432192,FRIENDS OF JACOB CAMPBELL INC,18,600,US,US-Federal
1060,AR184116451886497792,EQUALITY CALIFORNIA INSTITUTE,1,0,US,US-Federal
1061,AR184161497503498240,John Roberts for Congress,1,200,US,US-Federal
1062,AR184313333187346432,HURD FOR CONGRESS,29,19500,US,US-Federal
1063,AR184544986543423488,LANCE PRUITT,5,2500,US,US-Federal
1065,AR185023617698889728,LESLIE COCKBURN FOR CONGRESS,21,8800,US,US-Federal
1066,AR18506498682388480,FRIENDS OF ALISA BLUM,10,2400,US,US-Federal
1068,AR185219227689418752,NADARIUS CLARK FOR DELEGATE,2,3400,US,US-Federal
1069,AR185322478703214592,ELAD GROSS FOR MISSOURI,30,100,US,US-Federal
1070,AR18534811106803712,ENVIRONMENT AMERICA ACTION FUND,8,21500,US,US-Federal
1071,AR185393534642159616,MELINDA SERIN,4,0,US,US-Federal
1072,AR18552540731801600,KEKE FOR HD54 % LIKEITHIA WILLIAMS,2,4700,US,US-Federal
1073,AR185607595812192256,FRIENDS OF CHUCK DIETZEN,7,2100,US,US-Federal
1074,AR185662502674104320,BRIAN ALBERT,2,1200,US,US-Federal
1075,AR18582605502873600,GAYNOR FOR GOVERNOR LLC,7,5600,US,US-Federal
1078,AR185984384703135744,CAMPAIGN FUND OF JUSTIN STOFFERAHN FOR SENATE,15,18100,US,US-Federal
1079,AR185991222291070976,SOMOS PAC,2,200,US,US-Federal
1080,AR1860304954720256,ALEX PADILLA FOR SENATE,12,26600,US,US-Federal
1081,AR186089456783065088,YES ON E TO PROTECT OUR INFRASTRUCTURE,2,1900,US,US-Federal
1082,AR186137148099919872,FITZHERBERT FOR CONGRESS,4,200,US,US-Federal
1084,AR186171988874625024,BETH BIGHAM,8,400,US,US-Federal
1086,AR186320354224898048,CLUB FOR GROWTH,42,67200,US,US-Federal
1087,AR186418623076630528,KATE FOR CONGRESS,18,14400,US,US-Federal
1090,AR186565133001031680,"WITH HONOR FUND, INC.",649,562900,US,US-Federal
1093,AR186864681200123904,OVERPAID EXECUTIVE TAX SUPPORTED BY MATT HANEY,9,900,US,US-Federal
1094,AR186873752171053056,CLINT BARRAS,118,11600,US,US-Federal
1095,AR186947144572207104,ONE COUNTRY FUND,1,9800,US,US-Federal
1096,AR186974632362901504,UNITED DEMOCRATS OF KANSAS,45,56000,US,US-Federal
1097,AR187021567765512192,SOLID BLUE STRATEGIES,3,1300,US,US-Federal
1098,AR187024350904320000,REP. JENNIFER WEXTON - U.S. HOUSE OF REPRESENTATIVES,12,2500,US,US-Federal
1099,AR187103996777857024,The Oklahoma Project,4,1000,US,US-Federal
1100,AR187104649612886016,BRADLEY O'CONNER,19,300,US,US-Federal
1101,AR187271981538738176,BETH DOGLIO FOR CONGRESS,11,9200,US,US-Federal
1102,AR187391484708782080,FRIENDS OF MONICA WALLACE,4,10200,US,US-Federal
1103,AR187439588342497280,GODLEY FOR CITY COUNCIL 2020,1,500,US,US-Federal
1105,AR18756225260847104,"RAY, JUSTIN F.",1,800,US,US-Federal
1106,AR187619152335208448,COONEY FOR MONTANA,23,18400,US,US-Federal
1107,AR187721063319207936,BLUMENAUER FOR CONGRESS,13,17200,US,US-Federal
1108,AR188049954734866432,STAGGS FOR MAYOR,2,2100,US,US-Federal
1112,AR18817041997758464,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,149,391400,US,US-Federal
1113,AR188399874310406144,CORKY 2020,7,2500,US,US-Federal
1114,AR18841231253569536,OHIO DEMOCRATIC PARTY,89,31500,US,US-Federal
1116,AR188726016946995200,CONSERVATIVES FOR STRINGER,4,1400,US,US-Federal
1117,AR188728353409204224,DEMOCRATIC PARTY OF NEW MEXICO,1,4100,US,US-Federal
1118,AR188816932814716928,Gretchen Whitmer for Governor,97,135300,US,US-Federal
1119,AR188827172016750592,RODIMER FOR CONGRESS,5,1700,US,US-Federal
1121,AR188919221755838464,EDWIN M. LEE DEMOCRATIC CLUB POLITICAL ACTION COMMITTEE,1,800,US,US-Federal
1123,AR189071263598116864,JIM BOYD CAMPAIGN,19,23800,US,US-Federal
1128,AR189314255667855360,BE A CONSERVATIVE HERO INC,2,1300,US,US-Federal
1129,AR189320234262331392,SHAHEEN FOR SENATE,30,39800,US,US-Federal
1130,AR189414654823366656,LINCOLN CHAFEE FOR PRESIDENT,13,2100,US,US-Federal
1131,AR189549688595152896,FRIENDS OF LYNNETTE SHAW,6,700,US,US-Federal
1132,AR189570441877127168,COLIN LARSON,4,2200,US,US-Federal
1133,AR189624730263748608,BOB CLEGG FOR EXECUTIVE COUNCIL,2,300,US,US-Federal
1134,AR189671596946882560,CHRISTINE FOR COLORADO,3,1300,US,US-Federal
1135,AR189698053945425920,KOOP FOR TEXAS,39,29900,US,US-Federal
1137,AR189738804595130368,LARRY BYRD FOR MID DIRECTOR 2020,5,1000,US,US-Federal
1138,AR189769109884370944,IXNAY PAC,27,1200,US,US-Federal
1142,AR190273579563089920,"STUDIO 71, LP",4,45800,US,US-Federal
1144,AR19038799749185536,FRIENDS OF JENN ALFORD-TEASTER,2,4400,US,US-Federal
1145,AR190402050624847872,REP. RAJA KRISHNAMOORTHI - U.S. HOUSE OF REPRESENTATIVES,4,82500,US,US-Federal
1146,AR19054570869096448,SHAWN LASSITER FOR CONGRESS,12,2800,US,US-Federal
1148,AR190677100330483712,YUKONG ZHAO FOR CONGRESS,15,900,US,US-Federal
1149,AR190711425709113344,UNDERLY FOR WI,2,900,US,US-Federal
1152,AR190817288063025152,"MISSION MEDIA, LLC",24,136400,US,US-Federal
1153,AR190858519749066752,COMMITTEE TO ELECT MICHAEL CAPPS,9,1000,US,US-Federal
1154,AR191068732628402176,HUIZENGA FOR CONGRESS,55,33600,US,US-Federal
1156,AR19112604467200000,CITIZENS TO ELECT RUSTY CROWE TO CONGRESS,1,400,US,US-Federal
1159,AR191645082879787008,DLCC VICTORY FUND,5,600,US,US-Federal
1160,AR191840040035287040,SWALWELL FOR AMERICA,1599,109900,US,US-Federal
1163,AR192122751962578944,GEORGE GASCON FOR LA DISTRICT ATTORNEY 2020,8,18200,US,US-Federal
1166,AR192327398564298752,JIM LOWER FOR CONGRESS,6,500,US,US-Federal
1167,AR192389280453099520,"YES ON A, SAN FRANCISCO HEALTH AND RECOVERY BOND",1,3100,US,US-Federal
1168,AR192417902115160064,JOHN HANCOCK,13,3000,US,US-Federal
1169,AR192990335356370944,EVERY SINGLE VOTE,1,0,US,US-Federal
1170,AR193330771644121088,PATRICK RYAN FOR ULSTER COUNTY,1,0,US,US-Federal
1171,AR193348501269118976,NEVADA STATE DEMOCRATIC PARTY,5,83500,US,US-Federal
1172,AR193359462025658368,SWEENEY BURZICHELLI AND TALIAFERRO,6,6700,US,US-Federal
1173,AR193415296600506368,"WFW ACTION FUND, INC.",8,10900,US,US-Federal
1174,AR193465530538000384,BRANDY K. CHAMBERS,23,900,US,US-Federal
1175,AR19349205625602048,FEDERATION OF AMERICAN HOSPITALS PAC,10,3100,US,US-Federal
1176,AR193620080641179648,BILL POWERS,2,400,US,US-Federal
1177,AR193629151612108800,COMMITTEE TO ELECT HARPER PETERSON,1,7400,US,US-Federal
1178,AR193702544013262848,"WEVOYCE, INC",104,400,US,US-Federal
1179,AR193738346860642304,The Leadership Conference on Civil and Human Rights,24,28800,US,US-Federal
1180,AR193768445991452672,DMFI PAC,21,138400,US,US-Federal
1181,AR193818542489993216,BRIAN THOMPSON,4,100,US,US-Federal
1182,AR19382397132865536,FRENCH HILL FOR ARKANSAS,9,8300,US,US-Federal
1183,AR193896607815565312,SEBASTIAN DE LA PENA GONZALEZ,6,2300,US,US-Federal
1184,AR194100086186180608,KEVIN MCCARTHY FOR CONGRESS,41,157600,US,US-Federal
1186,AR194146884149837824,CAMPOS FOR OREGON,3,4300,US,US-Federal
1188,AR19428782779662336,JESS SCARANE FOR DELAWARE,187,12900,US,US-Federal
1190,AR194396610728296448,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES P E O P L E,13,189300,US,US-Federal
1191,AR19439915334893568,314 ACTION,14,5900,US,US-Federal
1192,AR194446432348930048,NRSC,5900,15647300,US,US-Federal
1194,AR194483128549507072,MICHAEL C RAWLINS,1,3800,US,US-Federal
1196,AR194591430444843008,TRAVIS OLER FOR IDAHO,5,200,US,US-Federal
1198,AR194787693270401024,COMPASSION & CHOICES,2,700,US,US-Federal
1200,AR19500147956252672,DANIEL HERNANDEZ FOR CONGRESS,14,800,US,US-Federal
1202,AR195111018408443904,BRAD WITT FOR STATE REPRESENTATIVE,14,10300,US,US-Federal
1204,AR19575636301447168,ICARUS LIVED INC.,2,2600,US,US-Federal
1205,AR195785225194700800,475 CONSULTING GROUP LLC,19,4800,US,US-Federal
1206,AR195826663039172608,RISE INC,1,800,US,US-Federal
1207,AR195852879519547392,"PRIORITIES USA AND LEAGUE OF CONSERVATION VOTERS, INC.",14,114700,US,US-Federal
1208,AR195870334266638336,NATIONAL WOMEN'S LAW CENTER ACTION FUND,5,5900,US,US-Federal
1210,AR196082436931584000,HERITAGE FOUNDATION,2,3400,US,US-Federal
1211,AR196103568170680320,"TRUTH AND LIBERTY COALITION, INC.",11,300,US,US-Federal
1212,AR196260351656853504,COLLINS FOR TEXAS,96,30000,US,US-Federal
1213,AR196367485321084928,"NEW INSPIRATION BROADCASTING CO., INC.",2,3100,US,US-Federal
1214,AR196524509325426688,PROGRESSIVE TAKEOVER,28,5600,US,US-Federal
1215,AR196619926318874624,GRAHAM ALLEN FOR CONGRESS,23,39300,US,US-Federal
1216,AR196708471364648960,NEW WAY CALIFORNIA,12,1200,US,US-Federal
1217,AR196810725946032128,CONNOR FOR MARICOPA,4,100,US,US-Federal
1218,AR196874154023059456,DEFENDARIZONA,107,612200,US,US-Federal
1219,AR196985685733801984,PROGRESS IOWA,3,22900,US,US-Federal
1220,AR196997780361707520,MONTGOMERY COUNTIANS FOR QUESTION A & AGAINST QUESTION B,20,18900,US,US-Federal
1221,AR197023618884960256,CHARLES BAILEY FOR GEORGIA INC.,2,1000,US,US-Federal
1222,AR197209986105868288,HOOSIERS 4 HODGE,12,0,US,US-Federal
1223,AR197303994350043136,"NEW YORK LEAGUE OF CONSERVATION VOTERS, INC.",1,4000,US,US-Federal
1224,AR197408516674158592,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES’  COMMUNITY ACTION FUND PAC,4,11500,US,US-Federal
1225,AR197428033005551616,REPS DESIGN,7,700,US,US-Federal
1227,AR197621203454656512,"ELECT LIZA WELSH FOR CITY COUNCIL, CITY OF EUREKA, WARD 4 IN 2020",1,500,US,US-Federal
1229,AR197804547018588160,STEINBERG FOR STATE REP,9,3400,US,US-Federal
1230,AR197860828270034944,FRIENDS OF MARK BATINICK,40,5000,US,US-Federal
1231,AR197887697585438720,RAY RODRIGUES CAMPAIGN,2,1100,US,US-Federal
1232,AR197981259153014784,Emma Mammano for NJ State Senate,9,2300,US,US-Federal
1235,AR198080077760561152,FRIENDS OF A.C. CORDOZA 2021,1,6200,US,US-Federal
1236,AR198101552597041152,FRIENDS OF ALICE DEWINE,17,2000,US,US-Federal
1237,AR198246481973477376,KENNEDY FOR MASSACHUSETTS,26,280000,US,US-Federal
1238,AR198358838317940736,KATHY LANDING FOR CONGRESS,46,200,US,US-Federal
1239,AR198678796201623552,"Flat Creek Management, LLC",5,10300,US,US-Federal
1240,AR198724082336792576,CHAMPION FLORIDA,43,1200,US,US-Federal
1241,AR198778405083152384,Save Our Healthcare INC,54,208300,US,US-Federal
1242,AR198912511142002688,"YANKA INDUSTRIES, INC.",204,68900,US,US-Federal
1243,AR199001571583852544,BOGNET FOR CONGRESS,20,4800,US,US-Federal
1244,AR199061254449397760,SAM BROWN FOR NEVADA,20,12100,US,US-Federal
1246,AR199211200347635712,MATTHEW SIMON LEWIS,8,100,US,US-Federal
1248,AR1992658666913792,FRIENDS OF LISSA GEIGER SHULMAN,42,14400,US,US-Federal
1249,AR199363104750960640,FRIENDS OF JAIME CASTLE,1,27800,US,US-Federal
1250,AR199381040534388736,NJ7 CITIZENS FOR CHANGE,14,900,US,US-Federal
1251,AR199467283477692416,GUNNISON COUNTY REPUBLICAN CENTRAL COMMITTEE,21,400,US,US-Federal
1252,AR199493190720421888,CUBBLER FOR CONGRESS,4,600,US,US-Federal
1253,AR199554247975501824,BENJAMIN 2021,5,25700,US,US-Federal
1254,AR199557374711693312,JAY OBERNOLTE FOR CONGRESS 2020,9,13300,US,US-Federal
1255,AR199606028101222400,WIN AT THE DOOR PAC,1,300,US,US-Federal
1256,AR1997297231593472,DICKINSON FOR CONGRESS COMMITTEE,9,4100,US,US-Federal
1258,AR199829297681137664,HAIDAR AWAD HAWTHORNE MAYOR 2020,77,15500,US,US-Federal
1262,AR200024735872974848,MARIANNE BUTTENSCHON,2,7500,US,US-Federal
1263,AR200075931883143168,KANEW FOR CONGRESS,106,1900,US,US-Federal
1265,AR200139497399123968,RYAN MORALES 2020,19,500,US,US-Federal
1266,AR200379397092409344,KOS MEDIA LLC,235,745200,US,US-Federal
1267,AR200388880380198912,CONSULTING EXPERTS LLC,10,3800,US,US-Federal
1268,AR200392488152727552,Krizek for Delegate,12,1800,US,US-Federal
1269,AR200418086157811712,COALITION FOR AMERICAN VETERANS POLITICAL ACTION COMMITTEE,9,2700,US,US-Federal
1270,AR200510307695591424,FRIENDS OF JEREMIAH FREI-PEARSON (JFP2020),1,700,US,US-Federal
1271,AR200512644157800448,DAN QUART FOR NYC,132,11900,US,US-Federal
1272,AR200786216394686464,EMMA COLLUM FOR FL HOUSE,7,800,US,US-Federal
1273,AR200829440945553408,PEGASUS STRATEGIES LLC,5,1400,US,US-Federal
1274,AR200950662102515712,"MERCURY PUBLIC AFFAIRS, LLC",24,6900,US,US-Federal
1275,AR20111201543389184,"NRDC ACTION FUND INC., PAC",6,100,US,US-Federal
1276,AR201201831789985792,JOHN KINGSTON FOR SENATE INC,237,43700,US,US-Federal
1278,AR201232137079226368,TAX FOUNDATION,39,12200,US,US-Federal
1281,AR201368682679500800,LANGLOIS FOR CONGRESS,9,800,US,US-Federal
1283,AR201509626326286336,LOUDOUN COUNTY DEMOCRATIC COMMITTEE,12,200,US,US-Federal
1284,AR201530723205644288,TODAYS GROWTH CONSULTANT,47,13400,US,US-Federal
1287,AR201661049693274112,REP DANIEL WEBSTER - U.S. HOUSE OF REPRESENTATIVES,70,5400,US,US-Federal
1289,AR201699841837891584,YES ON MEASURE V 2020,4,2700,US,US-Federal
1290,AR201981385534078976,MARSHALL TUCK FOR STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,14,4000,US,US-Federal
1292,AR20207580609511424,MARCH ON,45,37400,US,US-Federal
1294,AR20230223677095936,MONICA DE LA CRUZ HERNANDEZ FOR US CONGRESS,12,1700,US,US-Federal
1295,AR202327731696828416,"CLEARPATH ACTION FUND, INC.",789,254000,US,US-Federal
1296,AR202337970898862080,DAGA PLP,2,16000,US,US-Federal
1297,AR202357762108162048,KEMP FOR GOVERNOR INC,85,96900,US,US-Federal
1299,AR202925453705478144,DALIA FOR CONGRESS,6,3100,US,US-Federal
1300,AR20306364857319424,LCISD-BUILD THE FUTURE,1,200,US,US-Federal
1302,AR203107285440921600,"ESV CREATIVE, LLC",12,3200,US,US-Federal
1304,AR203231942571720704,CLEAN VIRGINIA,281,80600,US,US-Federal
1305,AR203426590489575424,VanValkenburg for Delegate,2,15500,US,US-Federal
1306,AR203536576012091392,FRIENDS OF MARTINA WHITE,1,3300,US,US-Federal
1307,AR203620482493186048,TEAM HAGERTY,117,318800,US,US-Federal
1309,AR203661095703937024,COMMITTEE TO ELECT CHRISTINE MORSE FOR STATE HOUSE,55,22100,US,US-Federal
1310,AR203795785878339584,WU COMMITTEE,8,1500,US,US-Federal
1311,AR203828049672667136,ZEKE FOR JUDGE,5,3500,US,US-Federal
1312,AR203940302937915392,OUR.NEWS HOLDINGS INC.,2,100,US,US-Federal
1314,AR204005311562907648,"WORKING ASSETS FUNDING SERVICE, INC.",37,12500,US,US-Federal
1315,AR204060974339063808,CAL FOR NC,637,1107600,US,US-Federal
1316,AR20430609671258112,CONNECTICUT STATE COUNCIL OF THE SERVICE EMPLOYEES INTERN'L UNION,28,9200,US,US-Federal
1317,AR204314755366649856,"BETTER PENNSYLVANIA, INC.",21,19400,US,US-Federal
1318,AR204343170870280192,CALIFORNIA REVIVAL,9,400,US,US-Federal
1320,AR204442401794686976,PIERINA SANCHEZ,4,900,US,US-Federal
1321,AR204467862360817664,FRIENDS OF JEREMY COONEY,9,11100,US,US-Federal
1322,AR204473978394247168,MCKINLEY FOR CONGRESS,18,4500,US,US-Federal
1324,AR204534863850635264,LAKE TRAVIS FIRE FIGHTERS PAC,29,2600,US,US-Federal
1325,AR204542904029413376,RE-ELECT REBECCA KAPLAN FOR CITY COUNCIL 2020,1,1700,US,US-Federal
