,Unnamed: 0,AdText,Category,Platform
31,107,"Donate to root out Trumpism | Donate to Dems by 11:59 P.M. | Defend Senate battlegroundsAd secure.actblue.com/donate/protect-dems If we lose even one seat, we lose our majority. Donate now to keep the Senate blue. Your donation could be the only thing that keeps McConnell, Cruz, and Hawley out of power.",political,Google
32,108,Leader McConnell? Never Again | Give to Defend Our Majority | Donate to Keep Dems in PowerAd secure.actblue.com/donate/protect-dems Donate right now! We can't allow the GOP & McConnell to hold the majority ever again. Donate ASAP to Dems! McConnell will control the Senate if Republicans flip even one seat!,political,Google
33,109,"Defend Democracy from the GOP | Donate Now, Flip the Senate | Midnight deadline. Give now.Ad secure.actblue.com/donate/protect-scotus Donate now, flip the Senate: The GOP must pay for what they've done to our Supreme Court. Democrats only need to flip FOUR seats to win the Senate! Give now & flip the Senate blue.",political,Google
34,110,"Condemn Mitch McConnell | Donate To Flip the Senate | Midnight deadline. Give now.Ad secure.actblue.com/donate/protect-scotus Donate now, flip the Senate: The GOP must pay for what they've done to our Supreme Court. Democrats only need to flip FOUR seats to win the Senate! Give now & flip the Senate blue.",political,Google
35,111,"Condemn the GOP's Hypocrisy | Take a Stand, Donate Now | Midnight deadline. Give now.Ad secure.actblue.com/donate/protect-scotus Donate now, flip the Senate: The GOP must pay for what they've done to our Supreme Court. Democrats only need to flip FOUR seats to win the Senate! Give now & flip the Senate blue.",political,Google
36,112,"GOP Hypocrisy Must Be Stopped | Donate to End the GOP Majority | Midnight deadline. Give now.Ad secure.actblue.com/donate/protect-scotus Donate now, flip the Senate: The GOP must pay for what they've done to our Supreme Court. Democrats only need to flip FOUR seats to win the Senate! Give now & flip the Senate blue.",political,Google
37,113,Iowans Can't Count On Ernst | Special Interests Come FirstAd ernstforgotiowa.com Joni Ernst voted to protect tax breaks for companies that send our jobs overseas. Her campaign took millions from corporate special interests and she left Iowans behind.,political,Google
38,114,Ernst Won't Fight For Iowans | Risking Our Retirement FundsAd ernstforgotiowa.com Joni Ernst wants to let her Wall Street donors gamble with our Social Security. Ernst would put our retirement savings on the line. She's not fighting for Iowans anymore.,political,Google
39,115,Ernst Leaves Iowans Behind | Gambling With Social SecurityAd ernstforgotiowa.com Joni Ernst doesn't work for Iowans anymore—she wants to privatize Social Security. Ernst would let Wall Street donors gamble with our retirement savings.,political,Google
40,116,Ernst Won't Protect Iowan Jobs | She's Not On Our SideAd ernstforgotiowa.com Joni Ernst’s campaign took millions from corporate special interests. Ernst voted to protect tax breaks for companies that outsource our jobs.,political,Google
41,117,"Montanans Can't Trust Daines | He Won't Fight For UsAd dainesfollowsthemoney.com Steve Daines spent years helping open factories in China while his company cut jobs here. The Chinese government called Daines their ""ambassador in Congress."" He won't work for us.",political,Google
42,118,"Daines Doesn't Work For Us | Montana Comes LastAd dainesfollowsthemoney.com Steve Daines spent years in China helping open factories while his company cut jobs here. The Chinese Communist Party called Daines their ""ambassador in Congress.""",political,Google
43,119,"Who Does Daines Work For? | He's 'China's Ambassador'Ad dainesfollowsthemoney.com Steve Daines helped open factories in China while his company slashed jobs in America. The Chinese government called Daines their ""ambassador in Congress.""",political,Google
44,120,"Iowans Can't Trust Joni Ernst | She Doesn’t Stand Up For UsAd ernstforgotiowa.com Ernst's campaign took over $600,000 from the drug and insurance industries. She voted to raise the cost of prescription drugs. Ernst isn't working for us.",political,Google
45,121,Joni Ernst Won't Fight For Us | Leaving Iowans BehindAd ernstforgotiowa.com Joni Ernst supports ending protections for Iowans with pre-existing conditions. She also voted to raise prescription drug costs. Ernst won't stand up for Iowans.,political,Google
46,122,Who Does Joni Ernst Work For? | She's Not Fighting For IowaAd ernstforgotiowa.com Ernst's campaign got over half a million dollars from the drug and insurance industries. She supports gutting protections for pre-existing conditions. Iowans can't trust Ernst.,political,Google
47,123,"Can't Count On Joni Ernst | She's Not Listening To IowansAd ernstforgotiowa.com Joni Ernst has voted repeatedly to cut Medicare by hundreds of billions of dollars. Iowa seniors need her, but Ernst isn't listening.",political,Google
48,124,Ernst Doesn't Listen To Iowans | Can't Trust Her To Work For UsAd ernstforgotiowa.com Joni Ernst has voted repeatedly to slash Medicare by hundreds of billions of dollars. Iowans need a leader we can count on to fight for us in Washington. We can't trust Ernst.,political,Google
49,125,Donate Now to Flip the Senate | Democrats Can Win Back Control | Midnight deadline. Give now.Ad secure.actblue.com/donate/protect-scotus Donate now! The future of the Supreme Court is on the line -- give now to flip the Senate! Democrats only need to flip two seats to win the Senate! Give now & flip the Senate blue.,political,Google
50,126,"Donate to End the GOP Majority | Give Now, Defeat the GOP | Midnight deadline. Give now.Ad secure.actblue.com/donate/protect-scotus Donate now! The future of the Supreme Court is on the line -- give now to flip the Senate! Democrats only need to flip two seats to win the Senate! Give now & flip the Senate blue.",political,Google
51,127,Only {PH_0} to Election Day | Donate to Elect Joe & Kamala | We're in the Final StretchAd secure.actblue.com We can beat Trump and the Republicans with your help. Donate to the Biden Victory Fund. Your donation is crucial to helping us elect Democrats up and down the ballot. Thank you.,political,Google
52,128,Only {PH_0} to Election Day | Official Biden Victory Fund | Donate to Elect Joe & KamalaAd secure.actblue.com We can beat Trump and the Republicans with your help. Donate to the Biden Victory Fund. Your donation is crucial to helping us elect Democrats up and down the ballot. Thank you.,political,Google
53,129,"Only {PH_0} to Election Day | Donate to Biden/Harris 2020 | Official Democratic TicketAd secure.actblue.com Donate to push Joe, Kamala and Democrats across the country to victory in these final days The stakes have never been higher. Contribute to the official Biden Victory Fund today.",political,Google
54,131,"Elect Joe & Kamala | Donate to Biden/Harris 2020 | Official Democratic TicketAd secure.actblue.com Donate to push Joe, Kamala and Democrats across the country to victory in these final days The stakes have never been higher. Contribute to the official Biden Victory Fund today.",political,Google
55,133,"Kamala for Vice President | Donate to Biden/Harris 2020 | Official Democratic TicketAd secure.actblue.com Donate to push Joe, Kamala & Democrats across the country to victory in these final days The stakes have never been higher. Contribute to the official Biden Victory Fund today.",political,Google
56,135,Joe Biden Wins Final Debate | Congratulate Joe On His Win | Official Biden Victory FundAd secure.actblue.com We're now in the final stretch of this race! It's going to be close. Rush a donation today to help Joe Biden and Democrats nationwide across the finish line.,political,Google
57,136,"Joe Biden Wins Final Debate | Congratulate Joe On His Win | Official Biden/Harris CampaignAd secure.actblue.com We can beat Trump and the Republicans with your help. Donate to the Biden Victory Fund. Give now to support Joe Biden, Kamala Harris, and Democrats down the ballot.",political,Google
58,138,"Joe Biden Wins Final Debate | Congratulate Joe On His Win | Official Biden/Harris CampaignAd secure.actblue.com Donate to push Joe, Kamala and Democrats across the country to victory in these last weeks The stakes have never been higher. Contribute to the official Biden Victory Fund today.",political,Google
59,141,"Official Biden Victory Fund | Elect Joe Biden, Kamala Harris | And Democrats NationwideAd secure.actblue.com We're in the final stretch! This election is going to be closer than you think. Rush a donation today to help us reach undecided voters and win key battleground states.",political,Google
60,142,"Official Biden/Harris Campaign | Elect Joe Biden, Kamala Harris | And Democrats NationwideAd secure.actblue.com We're in the final stretch! This election is going to be closer than you think. Rush a donation today to help us reach undecided voters and win key battleground states.",political,Google
61,144,"Joe & Kamala need your support | Official Biden/Harris 2020 | Official Team Biden 2020Ad secure.actblue.com Donate now so we can spread our message and defeat Trump & the GOP up and down the ballot. This is it, folks. The election is almost here and it's all hands on deck. Chip in today!",political,Google
62,145,"Elect Joe & Kamala | Donate to Biden/Harris 2020 | Official Democratic TicketAd secure.actblue.com Donate to push Joe, Kamala and Democrats across the country to victory in these last weeks The stakes have never been higher. Contribute to the official Biden Victory Fund today.",political,Google
63,146,"Make a Donation | Official Biden/Harris 2020 | Official Team Biden 2020Ad secure.actblue.com This is it, folks. The election is almost here and it's all hands on deck. Chip in today! Donate now so we can spread our message and defeat Trump & the GOP up and down the ballot.",political,Google
64,147,"Official Biden/Harris Campaign | Kamala for Vice President | Make A Contribution TodayAd secure.actblue.com Joe Biden & Kamala Harris: Support the campaign to send this team to Washington. Chip in! Contribute to the official ticket. Let's elect Joe, Kamala, and Democrats nationwide.",political,Google
65,149,"Kamala for Vice President | Donate to Biden/Harris 2020 | Official Democratic TicketAd secure.actblue.com Donate to push Joe, Kamala & Democrats across the country to victory in these last weeks The stakes have never been higher. Contribute to the official Biden Victory Fund today.",political,Google
66,150,"Official Biden/Harris Campaign | Support Joe & Kamala | Make A Contribution TodayAd secure.actblue.com Joe Biden & Kamala Harris: Support the campaign to send this team to Washington. Chip in! Contribute to the official ticket. Let's elect Joe, Kamala, and Democrats nationwide.",political,Google
67,156,"Kamala Harris Won the Debate | Congratulate Kamala on Her Win | Donate to Biden/Harris 2020Ad secure.actblue.com Donate to push Joe, Kamala & Democrats across the country to victory in these last weeks The stakes have never been higher. Contribute to the official Biden Victory Fund today.",political,Google
68,157,"Joe & Kamala need your support | Official Biden/Harris 2020 | Official Team Biden 2020Ad secure.actblue.com This is it, folks. The election is almost here and it's all hands on deck. Chip in today! Donate now so we can spread our message and defeat Trump & the GOP up and down the ballot.",political,Google
69,163,Official Democratic Party | Protect Reproductive Freedom | Donate NowAd secure.actblue.com Rush a donation to the DNC to protect abortion access and elect Democrats nationwide. Abortion is a constitutional right and we won’t stop fighting to keep it safe and legal.,political,Google
70,164,DNC | Support Democrats Nationwide | Donate to the Democratic PartyAd secure.actblue.com/democraticparty Make a donation today and launch Democrats to victory in 2021. Chip in now. We’re building a grassroots movement to take on the GOP. Make your donation today.,political,Google
71,165,Stand with Joe Biden Today | Donate Now | Donate to Support DemocratsAd secure.actblue.com/democraticparty Winning the White House was just the first step. Now it's time to get to work. Act now. Donate now to elect Democrats everywhere and sustain our fight for the long haul.,political,Google
72,166,Abortion is Health Care | Protect Roe v. Wade | Chip in TodayAd secure.actblue.com Donate today to elect Democrats who will protect Roe v. Wade and the right to choose. We cannot let the GOP's attack on reproductive freedom go unanswered. Chip in today.,political,Google
73,167,DNC HQ | Donate to Support Democrats | Stand with Joe Biden TodayAd secure.actblue.com Chip in to support the Official Democratic Party. Donate today. Invest in the party infrastructure needed to elect Democrats who will pass Joe’s agenda.,political,Google
74,168,Protect Roe v. Wade | Abortion is Health Care | Donate NowAd secure.actblue.com Chip in today to help protect abortion access and elect pro-choice Democrats nationwide. We cannot let the GOP's attack on reproductive freedom go unanswered. Chip in today.,political,Google
75,170,Democratic National Committee | Stand with Joe & Kamala | Donate TodayAd secure.actblue.com Donate now to elect Democrats everywhere and sustain our fight for the long haul. Winning the White House was just the first step. Now it's time to get to work. Act now.,political,Google
76,171,"Democratic National Committee | Official Website | Donate NowAd secure.actblue.com Donate to support Joe Biden, Kamala Harris, and Democrats in every corner of the country. Winning the White House was just the first step. Now it's time to get to work. Act now.",political,Google
77,199,"Stand With Rick Scott | Donate NowAd secure.winred.com Senator Rick Scott Is 5X-Matching Gifts Until We Hit $1,000,000. Contribute Immediately! Save The Senate! Stand With Senator Rick Scott and President Trump. Donate Now.",political,Google
78,200,"5X-Matching All Gifts | Donate NowAd secure.winred.com Senator Rick Scott Is 5X-Matching Gifts Until We Hit $1,000,000. Contribute Immediately! Save The Senate! Stand With Senator Rick Scott and President Trump. Donate Now.",political,Google
79,201,Elect Republican Senators. | Win Back The SenateAd secure.winred.com Official National Republican Senatorial Committee Site. Chip In Today. All Patriots Need To Step Up And Donate Immediately. Help Flip The Senate.,political,Google
80,202,Donate Today | Republicans For SenateAd secure.winred.com Support Senate Republicans In 2022. Donate Now. Support The NRSC. Donate Now!,political,Google
81,203,Official | Nrsc.org | Donate NowAd secure.winred.com Senator Rick Scott and President Trump Are Counting On You. Give $100 Today. Do Not Wait.,political,Google
82,204,"Stand With Rick Scott | Save The SenateAd secure.winred.com Senator Rick Scott Is 5X-Matching Gifts Until We Hit $1,000,000. Contribute Immediately! Save The Senate! Stand With Senator Rick Scott and President Trump. Donate Now.",political,Google
83,205,"Official Senate Victory | Chip In $10 NowAd secure.winred.com Official NRSC Site. Everything Is At Stake In The 2022 Election. It's America First vs. America Last, And It's Time To Decide Where You Stand. Donate Now.",political,Google
84,206,"Save The Senate | 5X-Matching All GiftsAd secure.winred.com Senator Rick Scott Is 5X-Matching Gifts Until We Hit $1,000,000. Contribute Immediately! Save The Senate! Stand With Senator Rick Scott and President Trump. Donate Now.",political,Google
85,207,Donate To NRSC | Donate To Senate RepublicansAd secure.winred.com Senate Republicans Need Your Help To Win Re-Election In 2022. Donate Today! Every Dollar Counts. Give Now To The National Republican Senatorial Committee.,political,Google
86,208,"Stand With President Trump | Save The SenateAd secure.winred.com Senator Rick Scott Is 5X-Matching Gifts Until We Hit $1,000,000. Contribute Immediately! Save The Senate! Stand With Senator Rick Scott and President Trump. Donate Now.",political,Google
87,209,"Critical Deadline | Stand With Rick ScottAd secure.winred.com Senator Rick Scott Is 5X-Matching Gifts Until We Hit $1,000,000. Contribute Immediately! Save The Senate! Stand With Senator Rick Scott and President Trump. Donate Now.",political,Google
88,210,"End Of Month Deadline | Stand With Rick ScottAd secure.winred.com Senator Rick Scott Is 5X-Matching Gifts Until We Hit $1,000,000. Contribute Immediately! Save The Senate! Stand With Senator Rick Scott and President Trump. Donate Now.",political,Google
89,211,Support The NRSC | Flip The Senate RedAd secure.winred.com Donate Now. Every Dollar Counts. Official National Republican Senatorial Committee Site. Support America First Policies.,political,Google
90,212,NRSC Donate Now | Official NRSC WebsiteAd secure.winred.com Official National Republican Senatorial Committee Site. Republican Candidates Need Your Help To Win Re-Election In 2022. Donate Today.,political,Google
91,213,Attn: Idaho | Stop ChinaAd action.nrsc.org/jointheteam Tell Us Who Was Tougher on China: Biden Or Trump? Don't Wait! The Poll Expires In 30 Minutes! Respond Right Now.,political,Google
92,214,Attn: Hoeven | Stop Illegal ImmigationAd action.nrsc.org/jointheteam Sign The Petition to Stop Biden From Housing Illegal Immigrants In Your Neighborhood. Take Action Today To Protect Hoeven From Illegals.,political,Google
93,216,Attn: South Dakota | Stop ChinaAd action.nrsc.org/jointheteam Tell Us Who Was Tougher on China: Biden Or Trump? Don't Wait! The Poll Expires In 30 Minutes! Respond Right Now.,political,Google
94,217,Attn: Wyoming | Stop ChinaAd action.nrsc.org/jointheteam Tell Us Who Was Tougher on China: Biden Or Trump? Don't Wait! The Poll Expires In 30 Minutes! Respond Right Now.,political,Google
95,219,Attn: Nebraska | Stop Illegal ImmigationAd action.nrsc.org/jointheteam Sign The Petition to Stop Biden From Housing Illegal Immigrants In Your Neighborhood. Take Action Today To Protect Nebraska From Illegals.,political,Google
96,220,Attn: Nebraska | Stop ChinaAd action.nrsc.org/jointheteam Tell Us Who Was Tougher on China: Biden Or Trump? Don't Wait! The Poll Expires In 30 Minutes! Respond Right Now.,political,Google
97,221,Roger Wicker for Senate | Get Involved | Donate To Take Back The SenateAd action.nrsc.org Calling on Republicans: Senator Wicker needs your help. Add your name and act now. Join the team today and add your name to the list of supporters fighting to save America.,political,Google
98,222,Stand With Fischer And Trump. | Save The Senate. Sign Up Now.Ad action.nrsc.org/jointheteam President Trump And Deb Fischer Need Your Help To Save The Senate. Join The Team. Fight Back Against The Radical Left's Destructive Policies. Join Now.,political,Google
99,223,Attn: Idaho | Stop Illegal ImmigationAd action.nrsc.org/jointheteam Sign The Petition to Stop Biden From Housing Illegal Immigrants In Your Neighborhood. Take Action Today To Protect Idaho From Illegals.,political,Google
100,224,Attn: Kansas | Stop ChinaAd action.nrsc.org/jointheteam Tell Us Who Was Tougher on China: Biden Or Trump? Don't Wait! The Poll Expires In 30 Minutes! Respond Right Now.,political,Google
101,225,Attn: Alabama | Stop ChinaAd action.nrsc.org/jointheteam Tell Us Who Was Tougher on China: Biden Or Trump? Don't Wait! The Poll Expires In 30 Minutes! Respond Right Now.,political,Google
102,226,Stand With Wicker And Trump. | Save The Senate. Sign Up Now.Ad action.nrsc.org/jointheteam President Trump And Roger Wicker Need Your Help To Save The Senate. Join The Team. Fight Back Against The Radical Left's Destructive Policies. Join Now.,political,Google
103,227,Stand With Hoeven And Trump. | Save The Senate. Sign Up Now.Ad action.nrsc.org/jointheteam President Trump And John Hoeven Need Your Help To Save The Senate. Join The Team. Fight Back Against The Radical Left's Destructive Policies. Join Now.,political,Google
104,228,Attn: Louisiana | Stop ChinaAd action.nrsc.org/jointheteam Tell Us Who Was Tougher on China: Biden Or Trump? Don't Wait! The Poll Expires In 30 Minutes! Respond Right Now.,political,Google
105,230,"Attention, Nebraska. | Stand With Shelby And Trump.Ad action.nrsc.org/jointheteam President Trump And Richard Shelby Need Your Help To Save The Senate. Join The Team. Fight Back Against The Radical Left's Destructive Policies. Join Now.",political,Google
106,231,Stand With Risch And Trump. | Save The Senate. Sign Up Now.Ad action.nrsc.org/jointheteam President Trump And Jim Risch Need Your Help To Save The Senate. Join The Team. Fight Back Against The Radical Left's Destructive Policies. Join Now.,political,Google
107,232,Capito for Senate | Capito Official Site | Donate To Take Back The SenateAd action.nrsc.org Join the team today and add your name to the list of supporters fighting to save America. Calling on Republicans: Senator Capito needs your help. Add your name and act now.,political,Google
108,233,Attn: Alaska | Stop Illegal ImmigationAd action.nrsc.org/jointheteam Sign The Petition to Stop Biden From Housing Illegal Immigrants In Your Neighborhood. Take Action Today To Protect Alaska From Illegals.,political,Google
109,234,John Barrasso Official Site | Republicans Need Your Help | Stop The Radical LeftAd action.nrsc.org Join the team today and add your name to the list of supporters fighting to save America. Calling on Republicans: Senator Barrasso needs your help. Add your name and act now.,political,Google
110,235,Who Is Jon Ossoff? | Learn The Truth | Runoff Election January 5Ad senateleadershipfund.org Why Are Radical Democrats Funding Jon Ossoff’s Campaign? Because He’ll Put Them In Charge. He’s Not Fighting For Georgia. Learn The Truth.,political,Google
111,236,Jon Ossoff | Learn The Truth | We Can’t Afford Jon OssoffAd senateleadershipfund.org Do You Know Jon Ossoff’s Real Priorities? Don’t Let Him Hand Control Of Washington To The Radical Left. Learn More.,political,Google
112,237,We Can’t Afford Ossoff | Get The Facts | Radical Plans For GeorgiaAd senateleadershipfund.org Far-Left Jon Ossoff Is Funded By The Most Liberal Wing Of His Party. He Will Hurt Families When They Already Can’t Afford It. Learn The Truth.,political,Google
113,241,"Barbara Bollier Independent? | No Way | Learn More About BollierAd senateleadershipfund.org Is that why national democrats spent over $14 million to elect Barbara Bollier? Bollier voted with democrats over 90%, that’s almost always. She's extreme on guns.",political,Google
114,242,"Sara Gideon | Too Risky a Choice | Maine Can’t Afford GideonAd senateleadershipfund.org Playing politics, trying to raise gas taxes, even the illegal campaign contributions. It’s all bad. But protecting a teacher sex predator in the legislature? That’s just wrong.",political,Google
115,243,We Can’t Trust Sara Gideon | She’s Just Too Risky a Choice | Protecting a Sex PredatorAd senateleadershipfund.org Trying to raise gas taxes. Playing politics. Protecting a teacher sex predator. The choice comes down to this. We can’t trust Sara Gideon. Reject Sara Gideon.,political,Google
116,244,"We Can’t Trust Sara Gideon | She’s Just Too Risky a Choice | The Choice Comes Down to ThisAd senateleadershipfund.org Sara Gideon: Gas tax, illegal contributions, protected a predator. That’s just wrong. Maine can’t trust Sara Gideon. Reject Sara Gideon.",political,Google
117,245,Reject Cal Cunningham | Cannot Be Trusted | Reckless and ArrogantAd senateleadershipfund.org Cal Cunningham’s extramarital affair isn’t about the details. How could he risk so much? He leverages his marriage as a campaign asset. Then does this to his wife and children?,political,Google
118,246,What Happened Steve Bullock? | He Changed | Learn More About Steve BullockAd senateleadershipfund.org Steve Bullock stacked his coronavirus relief task force with his own donors. Bullock evolved on guns & gets an F-rating from the NRA. We thought we knew Steve Bullock.,political,Google
119,247,John Hickenlooper | We Can't Trust Him | Reject John HickenlooperAd senateleadershipfund.org John Hickenlooper’s extreme backers want to change the rules to pass gov't-run health care We can’t trust Hickenlooper to stand up for us.,political,Google
120,248,"Reject Cal Cunningham | Wrong Values. Wrong Agenda | More Affairs?Ad senateleadershipfund.org Cal Cunningham won't say if there are more affairs, wants to concentrate on issues. Character is an issue - it's the top issue. He's representing our families.",political,Google
121,249,Say No to Barbara Bollier | Too Extreme for Kansas | Learn More About BollierAd senateleadershipfund.org Barbara Bollier claims she’s not extreme. But she wants government gun confiscation. Bollier wrote a bill allowing a simple judicial order to seize people’s guns.,political,Google
122,250,"Shady John Hickenlooper | We Can't Risk Him in Senate | Reject John HickenlooperAd senateleadershipfund.org John Hickenlooper plays by his own rules. Now, his extreme backers want to change the rules in DC & drive up energy prices.",political,Google
